"Dealer","Alamat","Area","Telepon","Fax"
"Arjuna Parabola","Jl. Mahendra Data No 28, Depan Apartemen Ganidha Gunung SoputenDenpasar - Bali","","0361-490057",""
"MG PARABOLA","Jl Bypass Ir. Soekarno no 11 TABANAN","","0361-8559098",""
"ANEKA SATELIT ","Jl Gunung Batur Gg XVI E2 no 6 DENPASAR","","081337813805","081999721805"
"DOEL SUMBANG ","Jl Bypass Ngurah Rai 128X NUSA DUA","","0361-773766",""
"SANTI SEDANA ","Jl Dalung Permai BADUNG ","","0361-7899500","082145079979"
"TUNAS MEKAR MANDIRI ","Jl Pulau Moyo 65 DENPASAR","","0361-7809678 / 0361-8853212",""
"NIRVANA ELEKTRONIK ","Desa Kayuputih SINGARAJA ","","08174190662","081936443440"
"ADVANCE ","Jl Bukit Tunggal no 14 DENPASAR","","0361-484355",""
"DHARMAYASA","Jl Gunung Agung 41 DENPASAR","","0361-427717",""
"BALI ELECTRONIC CENTRE ","Jl Teuku Umar DENPASAR","","0361-255080",""
"MULTIMEDIA ","Jl Setiabudi 22 SINGARAJA","","081-337512300",""
"LANGGENG ELEKTRONIK ","Jl Gajah mada KARANGASEM","","0363-22577 ",""
"CAHAYA ABADI ","Jl Sudirman SINGARAJA","","0362-94388",""
"ANEKA ELEKTRONIK ","Jl Gajah mada SINGARAJA","","081-936660699 ","08244088924"
"MIASA ELEKTRONIK ","Nusa Penida KLUNGKUNG ","","085-739618784",""
"RAHMAJAYA ","Jl Gunung Sraya 1 no 15 DENPASAR","","081-335869009",""
"SARI BUNGA","Jl Raya Tampaksiring GIANYAR","","081-74778114",""
