"Dealer","Alamat","Area","Telepon","Fax"
"RESTU BINANGUN JAYA","Jl. WR Supratman no.32 RT02/02 Kel.Rengas Kec Ciputat Timur Kab Tangerang","","0811147923, 02155780650, 02168554889","021-55780650, 68554889"
"CV. Tirta Media sejahtera","Perumahan mas naga jl.pirus D 419 A. tmn galaxy jaka sempurna bekasi","","081290160085","0215524604"
"UD. V-lee vision","Harapan Indah 2 cluster harmoni Blok HZ 18 NO 10 Bekasi","","081399555512","02128902995"
"PT. Mayapada Marga Abadi","Jl. Mawar merah no 2 kelurahan meruya utara kembangan jakbar","","085714700017","0215303132"
"CV. Putra Wilis","Cipambuan no 37 rt 1 rw 2 Babakan Madang sentul bogor","","081286643222","02187952123"
"UD. Satelit parabola","Perum Citra 3 Blok c 10 n0 2B.Rt 014 rw 013 Pegadungan kali deres","","082124066402/08159697838","0215412512/02154393623/02154393623"
"CV. Gemilang karya Sukses","Jl. Kelapa lilin 5 blok DB 2 no 7 rt 003 rw 003 curug kelapa 2 tangerang","","08159788688","02154200607"
"CV. Putra Angkasa","jl. Perjuangan no. 85 kav. Blok D Ciwaduk-Cilegon/Jl. KH. Syekh Nawawi rt. 01 rw. 06 Kel. Banjar Sari Kec. Serang","","081808926991/081388999702","-"
"PT. Fit Tunas Sejahtera","Bukit Gading Mediterania Blok BN. No. 9 Kelapa Gading, Jakarta 14240","","02168624368/0818121768","02145860933/02145874459"
"PT. Graha Bintang Sentosa","TBD Blok C12/14 Gunung Sindur Bogor","","0817757050/081314379220","-"
"PT. Cipta Wisata Mandiri","Gedung Stadion Lebak Bulus Tribun Timur No. Ts-4","","085775065796","0217508306"
"Sumber Prima Sentosa","Jl. Sunda no.17 Bandung","","0224209777, 0224238880",""
"CV.Zharfan Duta Persada","Jl. Solontongan II no.7 RT 01 Rw 06 Kel Turangga Kec Lengkong Bandung","","0821179001123, 02270455537","0227310900"
"Sejahtera Mandiri Cirebon","Jl. Melati no.5A kesambi baru cirebon","","085724218886","0231235413"
"CV.Digital Cikiara Service","Jl. Ampera Barat no.15 Cipedes Tasikmalaya","","081323614146","02652353975"
"CV.Zulby Putra","Jl. Andes 52 Komp Pinus Regency","","081312889190 / 087823638481","02270402424"
"CV Tiasat Parabola","Jl. DR.Moh Hatta no. 4A (Simpang Lima)","","082121031212","02657002261"
"CV Tunas Makmur Abadi","Jl. Veteran no.63 Bandung","","02261088816","0224240123"
"Sony Elektronik","jl. Mochtar Obing no.6","","0266222600, 220453","0266239222"
"Elkana Bursa Handphone","Jl. H.Agus Salim no.14 RT/RW 004/002 Purwodinatan","","0243541238","0243565200"
"UD Maju Makmur Parabola","Jl. A Yani Ps Winong Pati","","081326696179, 0816669243","0295392017"
"Wijaya","Jl. Diponegoro 24 Jepara Jateng","","08122879254, 08122902652","0291591102"
"Diponegoro","Jl. Diponegoro 45 Cepu","","0811272248","0296421404"
"CV. ASA Utama","Jl. Rojo Kusumo no.04  RT 01/01 Ngembal Kulon Kudus","","087831775111","02913377357"
"Glegs Elektronik","Jl. Diponegoro S2 Barongan RT 01 RW 02 Kudus","","0291437103, 0811297599",""
"CV Safina Multikom Persada","Ruko Nakula Jl. Nakula Utara 2 kejambon Tegal","","085727241777","02836119090"
"Era Electronik","Jl. Binagriya Raya no.61 Kota Pekalongan","","08112606116, 085870492401","0285424487"
"Cahaya","Jl.Hos Cokroaminoto no.81 RT/RW 002/005 Landungsari-Pekaloangan Timur","","0816667501","0285424063"
"Toko Patra","Jl. Panunggulan no.30 Kel Pati Wetan RT/RW 04/01 Kec Pati Kab Pati","","",""
"Sinar Sejahtera","Jl. Hayamwuruk 29 Pekalongan","","081931988839","0285420059"
"Toko Radio Laksana","Jl. MT Haryono no 26/66 Purwodadi Grobongan","","08122855325","0292421222, 0292421444"
"CV. AV Jaya","Jl. Gajah Mada no.6 Brebes","","081326861500, 081902027676","02833388111, 0283672172"
"Mitra Sukses, UD/Thony Arifin/Toko Parabola Pelangi","Jl.Usaha no.2 RT/RW 03/07 Purwodadi Grobogan","","085865535008",""
"Terang Jaya","Jl. Bulu Rt03 Rw01 Bulu Jepara Jawa Tengah","","0811279321","0291595319"
"CV. Anugrah Dea","Jl. Peterongan Timur 346 Kel. Peterongan, Kec. Semarang Selatan, Semarang","","02470041588, 02470165157, 08813729727, 082135",""
"CV. Karunia Cahaya Semesta","Jl. MAJAPAHIT UTAMA NO.44 NUSUKAN, BANJARSARI, SURAKARTA","","0271741737, 082326710505, 085879151211","0271741737"
"Yes Com Sragen","JL. VETERAN NO.14 SRAGEN","","02717048818, 085755422800",""
"Yes Com Kudus","JL. GOR NO.8 MLATI KIDUL RT 05/01 KUDUS","","081393428428, 085728791511",""
"Sinar Elektrik","Ds. Karangsari RT 02 RW 01 Kec. Punggelan, Kab. Banjarnegara","","02817503666, 08129185928, 085741493359",""
"ESA ELEKTRONIK","JL. DEWI SARTIKA 70A SOLO","","0271651941, 08121544758, 0811295564",""
