"Mall","Alamat","Area","Telepon","Fax"
"Bandung Indah Plaza","Jl. Merdeka 56, Bandung","","",""
"Cibubur Junction","Jl. Jambore No. 1, Cibubur, Kec. Ciracas, Jakarta Timur 13720","","",""
"Ekalokasari Plaza","Jl. Siliwangi 123, Bogor 16142","","",""
"Gajah Mada Plaza","Jl.Gajah Mada No.19 -26 Jakarta 10130","","",""
"Istana Plaza","JL Pasir Kaliki 121-123","","",""
"Mall Lippo Cikarang","Jl. M.H. Thamrin Lippo Cikarang Bekasi 17550","","",""
"Plaza Semanggi","Kawasan Bisnis Granadha Jl. Jend. Sudirman Kav. 50 Jakarta 12930","","",""
"Pluit Village","Jl. Pluit Indah Raya Jakarta 14450","","",""
"Pejaten Village","Warung Jati Barat No. 39, Jati Padang, Pasar Minggu, South Jakarta","","",""
"Kramat Jati Indah Plaza","Jl. Raya Bogor KM.19, Kramat Jati, Jaktim 13510","","",""
"PX Pavillion","Jl. Puri Indah Boulevard Blok VI Puri Indah - Jakarta Barat","","",""
"Lippo Mall Kemang","Kemang Village, 36 P.Antasari, Jakarta 12150","","",""
"Blu Plaza","Jl. Cut Mutiah RT 004 / 09 No. 27 - 36, Bekasi Timur, Bekasi","","",""
"Batu Town Square","JL. Diponegoro No. 1 Kota Batu - Jawa Timur","","",""
"Lippo Plaza Sidoardjo","Jl.Raya Pahlawan Simpang Susun Tol, Jati, Sidoarjo, Jawa Timur","","",""
"WTC Matahari","Jl. Raya Serpong No. 39, Tangerang 15326","","",""
"Metropolis Town Square","Jl. Hartono Raya Modern, Kelapa Indah Tangerang 15117","","",""
"Malang Town Square","Jl. Veteran No. 2 Malang 65114","","",""
"Depok Town Square","Jl. Margonda Raya No.1 Pondok Beji, Depok, 16424","","",""
"Bellanova Country Mall","Jl. MH. Thamrin No.8 Bukin Sentul 16810","","",""
"City of Tommorow","Jl. Jend. A. Yani No. 288 Surabaya 60234","","",""
"Grand Mall Bekasi","Jl. Jend. Sudirman Kranji Bekasi","","",""
"Tamini Square","Jl. Taman Mini Raya, Garuda Pinang Ranti Jakarta Timur 13560","","",""
