"Retailer","Alamat","Area","Telepon","Fax"
"HPM Cibubur","CIBUBUR JUNCTION Jl.Jambore RT. 004/014, Kel CibuburKec Ciracas, Jakarta Timur","021","87756345/87756344","87756345"
"HPM Sentul","Belanova Sentul Jl. MH. Thamrin Sentul","021","87923799/87923873/87923867","87923873"
"HPM Pondok Gede","Plaza Pondok Gede 2 Jl Raya Pondok Gede No.1 Bekasi","021","84938420/84938444","84938421"
"HPM Karawaci","SUPERMALL KARAWACI Jl. Bulevar Diponegoro 105 Lippo Karawaci 1200","021","54212047/54212066","5472530/5472267"
"HPM Bekasi","GRAND MALL BEKASI Jl. Jend. Sudirman No. 01 Kranji - Bekasi Barat 17135","021","88966334/88966335/88966345","88954852"
"HPM Cikarang","Mall Lippo Cikarang Jl. M. Husni Thamrin Lippo City, Cikarang, Bekasi","021","89901110/89901578/89901423/899009","89901112"
"HPM Serpong","MALL WTC MATAHARI SERPONG Jl. Raya Serpong No. 39 Tangerang 15326","021","53154753/5315457","53154762/53154792"
"HPM Gajah Mada","GAJAH MADA PLAZA Jl. Gajahmada No. 19-26 Jakarta Pusat","021","6343463/6338825/6343954","6343854"
"HPM KTC","KTC Jl. Bulevard Barat Raya Jakarta Utara","021"," 45851294/45851297/45851295","45851293"
"HPM Depok","Depok Town Square Jl. Margonda Raya No. 1 Pondok Cina Beji, Depok 16424","021","78870263/78870288","78893065"
"HPM Jacc","JaCC Plaza Jl. Kebon Kacang Raya, Waduk Melati Tanah Abang - Jakarta Pusat","021","31991010/31991014/31991003","31991011"
"HPM Pejaten"," Pejaten Village Mall Jl. Warung Jati Barat No. 39 Pejaten Village, Jakarta Selatan","021","7821677",""
"HPM Metropolis","METROPOLIS TOWN SQUARE Jl. Hartono Raya Moderen 1 No.17 Kelapa Indah - Kota Modern Tangerang","021","55780979/55780988","55780975"
"HPM Daan Mogot","MALL MATAHARI DAAN MOGOT Jl. Raya Daan Mogot Km 16.5 Kali Deres, Cengkareng Jakarta Barat","021","54377755/54377756/54391218/543821","54377755"
"HPM MGK","Mega Glodok Kemayoran Jl. Angkasa Kav.B 6 Jakarta","021","65701576/26647455/65701573","6570157"
"HPM Puri Indah","PARAGON MALL PURI Jl. Puri Indah Raya Blok W, Rt. 01/ Rw. 02 Kel: Kembangan Selatan, Kec Kembangan Jakarta Barat ( Samping Walikota Jakbar )","021","58357420/58357421","58357422"
"HPM Cyberpark Lippo Vilage","Lippo Karawaci Utara Jl. Falatehan (Depan Ruko Pinangsia) Lippo Karawaci Utara Tangerang","","",""
"HPM Kemang Village","Kemang Village Jl. Kemang 6 / Jl. P. Antasari No.36 Kemang, Jakarta Selatan Kel. Bangka, Kec. Mampang Prapatan","","",""
