"Dealer","Alamat","Area","Telepon","Fax"
"PT.Wacana Baru Asia","Jl. Nusa Indah Baru Blok H no.6-7 Pontianak Kalimantan Barat","","08988911933, 0561749309","0561733528"
"CV Lux Sarana Utama","Jl. DI Panjaitan No.49 RT033 Kel Gn Sari Ulu Kec Balikpapan tengah","","081241388991, 05427021195","0542412607"
"Mitra Bernaung","Jl.Damanhuri Perum Borneo Mukti 2, Rt.42 Blo AA 81","","081232666676",""
"Indo Permata Jaya","Jl.Jend.Sudirman Blok K1 No.7, Balikpapan","","0542-5658448","0542-567910"
"Buana Jaya Sentosa","Jl.H.M. Arsyad No.99,Sampit","","081251222398",""
"Budi Sejati","Jl.Jend.Sudirman No.18","","08125564731",""
"Surya Perkasa Elektronik","Jl.W.R. Supratman No.14 Brebas Setengah, Bontang","","081347805009","054826542"
"Toko Mita","Jl.Jend.Sudirman,Komplex Adi Jaya 2 No.18 Blok A by Pass","","08539144441",""
"CV.Muhammad Fachri Perdana","Dahai RT/RW:02/02 No.048 Kec Paringin,Kab.Balangan","","0852-49501003",""
"Sony Elektronik ( Pangkalan Bun )","Jl. Utama Pasir Panjang RT. ,Pangkalan Bun, Kalimantan Tengah","","0532-23055",""
"Dealer Sony Elektronik","Jl. Utama Pasir Panjang RT. ,Pangkalan Bun, Kalimantan Tengah","","0532-23055",""
