"Dealer","Alamat","Area","Telepon","Fax"
"National","Jl. Kartini, No 12. Palopo","","08124180559/0471-21421","0471-21464"
"Global Elektronik","Jl. Kemakmuran, Kel Mappasaile, Pangkajene","","0411-2528373/08124203539","0410-21238"
"Putra Arfindo Jaya","Jl. Trikora Wosi, Ruko Bambu Kuning No.2","","0986213368, 085344034567","0986213311"
"Toko Sinar Terang","Jl. Sam Ratulangi No.28","","0438-21240",""
"Matrix Elektronik Gorontalo","Jl. S. Parman No.63","","0435-829170",""
"Sinar Mutiara","Jl. 23 Januari , Kelurahan Biawao","","0435-821512",""
"Palapa Elektronik","Jl. S.Parman No.100","","0435-823555",""
"CV. Multi Media Net","Jl. Zebra III, No. 11","","0451-4883, 0451-4133212",""
"Toko Amurang Elektronik &amp; Meubel","Kel.Bitung Kec.Amurang Kab.Minahasa Selatan","","085298741888",""
"Jaya Elektronik","Jl. Kelapa Dua Entrop jayapura, Jayapura,","","0967-550765",""
"CV. Agung Jaya Biak","Jl. Selat Makassar No.16","","0811487733 / 0981-23456",""
"Dealer CV.Agung Jaya Biak","Jl. Selat Makassar No.16","","0811487733 / 0981-23456",""
"PT. Timika Makmur Jaya Sentosa","Jl. Budi Utomo Kel.Kwamki, Tinika","","",""
"Dealer PT.Timika Makmur Jaya Sentosa","Jl. Budi Utomo Kel.Kwamki, Tinika","","",""
"Toko Aneka Listrik","Jl.Raya Mandala No.272 Merauke","","0971-324321/085823876888",""
"Dealer Toko Aneka Listrik","Jl.Raya Mandala No.272 Merauke","","0971-324321/085823876888",""
