"Dealer","Alamat","Area","Telepon","Fax"
"CV Sky Drive Elektronik","Jl.WZ Yohanes No.36 Wanea Manado","","08113636888, 087846665871",""
"PT.Maupa Lintas Cakrawala","Jl. Jend A Yani no 35 Blok TU","","04113619943/04113619957",""
"Toko Timur Sentosa","Jl. Walanda Maramis no.152 Manado","","085342171111","0431862315/0431852545"
"CV Dunia Satelit Indonesia","Jl. Adhyaksa Baru, No. 18E, Makasar","","081396332323","0411-4662088"
"Cv Mega Sell","Jl. G. Latimojong, Komp Ruko Square C17","","085656388388","0411-854976"
"PT. Damai Jaya Abadi/Toko Damai","Jl. Cempaka No.10, Maros","","082188325700","0411-371506"
"Toko Maju Sejahtera","","","",""
"CV. Global Lestari","","","",""
"CV. Silvatama Indonesia","","","",""
"Bintang Anugerah","Jl. Walanda Maramis No. 65","","0431 - 3317557, 862636 ","0431 - 85254"
"Toko Bina Utama","Jl. Yos Sudarso No.79","","0438-32161",""
"STAR","Jl. Ir. Soekarno 88","","85256646600",""
"Gaya Teknik","Jl. Dr. Sutomo No.16","","0431-864059","0431-853331"
"CV. Swiss Baru","Jl. Walanda Maramis No.35","","0431-851341","0431-868929"
"PT. Berkat Teknik Jaya","Lingkar 1, RW.01, Mahakeret Barat","","85256844408",""
"UD. Nixen","Kel.Sawang Bendar Kec. Tahuna Kab. Kepulauan Sangihe","","",""
