"Dealer","Alamat","Area","Telepon","Fax"
"Medan Com","Jl. Brigjen Katamso No.677 Medan - Sumatra","","0614550855",""
"CV. Azka Mulia Pratama","Jl.Marelan Raya GG Mesjid No.31 Kel Tanah Enam Ratus","","082168728089",""
"CV. Pandu Surya Utama","Jl. Langsat No. 2 A Medan","","085370861666, 0614577484, 08126511181",""
"Intracom","Jl. Areal Computer Center Lt.4 no.14-15 Plaza Medan Fair","","085361951040",""
"CV NA2 Mulia Perkasa","Jl. Laksana No.23 SIMP III Pekan Kec Perbaungan","","081360215555",""
"CV Domas Lestari","Jl. Besar Pekan Dolok Masihul","","085206125601",""
"CV Dinamika Jaya Abadi","Jl. Medan Area Selatan GG Mangkok no 1 Sukaramai I Kec Medan Area","","08162196176, 081361008424",""
"CV Anugrah ","Jl. Bakti no.46 Lubuk Pakam Deli Serdang","","085206853682, 081263721339",""
"Berkat Elektronik","Jl. ST Usman No.9 Kel Daya Bangun","","08126695325",""
"King Elektronik","Jl. Medan-Banda Aceh km 93 Pasar Padang Tiji, Sigli /Aceh","","085277488584",""
"PT Radio Setiawan Nada Nusa","Jl. Sirandorung Gg PGA Rantauprapat","","085270449555, 085296111999 / 081397222633",""
"Karunia Abadi Solution","Jl. Akasia no.13 Kel Mekar Baru - kec Kisaran Barat Kisaran - Sumatera Utara","","087768593860, 082161864948",""
"CV Prima Lamkaruena","Jl. Gampong Blang Makmur Kec Kuala Batee Kab Aceh Barat Daya","","081360737343/08536126277",""
"CV Mutiara Indah Persada","Jl. Tempuling GG Bersama No.2 Kel Sidorejo Hilir Kec Medan Tembung Medan","","081375585858",""
"CV Mulya","Jl. Perintis No.02 Kel.Punge Jurong Kec Meraxa","","081269959959, 065125107",""
"CV Cirasa","Jl. Gampong tengah baru kec labuhan haji","","081377199061",""
"CV Meujasa","Jl. Iskandar Muda No.3 Blang asan kota sigli Aceh","","081377115149, 08116829889","065124522"
"CV Amin Parabola","Jl. Pahlawan Ds Suka Karya Kec Simeulur Timur Kab Simeulue Kota Sinabang","","085260004599","065021458"
"CV Gina Media Prima","Jl. Imam Bonjol no.302 Kec Padangsidimpuan Selatan","","085270054611",""
"Bintang Parabola","Jl. Sutomo no.305 P/91 Kel.Pusat Pasar Kec Medan Kota","","0614571612",""
"Akhana Komputer","Jl Iskandar Muda no 19, Sigli, Aceh","","082360000120",""
"Bintang Electronik","Pulo Ara, Gd Teungoh Bireuen","","081360080259",""
"CV I.H. Vision","Jl Sultan Malikussaleh no7 Pulo Ara Geudong Teungoh kec Kota Juang","","082166442265",""
"CV Adi Metrix","Jl Blang Bintang Lama Km.9 desa Lam Asan / Peukan Lam Ateuk Kec. Baitussalam. Kab. Aceh Besar","","081269037444",""
"Linory Jaya","Jl Diponegoro no 143 Gunung Sitoli","","085275406266, 0639 - 21317, 32301",""
"CV K-ONE agency","Jl Sudirman Komplex City Walk no 39, Padangsidempuan Utara","","085297278314",""
"Megah Elektronik","Pasar Grong Grong","","0653 7828333",""
"Toko Doa Bersama Elektronik","Jl Tgk Chik Ditunong no 5 Kota Lhoksukon aceh utara NAD","","081376996666",""
"CV Sanang Multimedia","Jl Iskandar Muda kec Babuusalam, Kutacane, kab Aceh Tenggara","","085296553344",""
"Dunia Kharisma Indonesia","","","0811606525","06188813022"
"Vision Star","Jl. Mayor Salim Batubara,","","0711-315116, 081273535350",""
"CV. Sahabat Sejati","Jalan Sudirman No.459 (Kantor PT.Telkom) Palembang","","082378600909/0711 7000072","0711375158"
"CV. Karya Tehnik","Jl. Bambang Utoyo Kav.128 A Kel.5 Ilir Kec. Ilir Timur 2 Palembang","","081366632868","07113001401"
"CV. Raja Mapala","Jl. Ali Gatmir Lr.Kedipan Tengah No.225 Rt.005 RW.002 Kel. 13 ilir Kec. Ilir Timur 1 Palembang","","081319732211",""
"CV. Multivision ","Jalan Yos Sudarso Batu Urip Taba Lubuk Linggau","","081271315999",""
"CV. Asia Parabola","Jl. Sersan Arifin No.480 Muara Enim","","08127833035",""
"CV. Kurnia Vision","Jalan Madang Dalam II Lr. Makmur 4 RT.025/Rw.08 Sekip Palembang","","081273384386/081272945736",""
"CV. Jaya Sampurna","Komplek Graha Bukit PesonaA.3 RT.039/RW.006 Kel. Sukajaya Kec. Sukaramai Palembang","","081311155435/081368905999",""
"Toko Irama Jaya","Jalan Jendral Sudirman No.452 Batu Raja","","081278835300",""
"Tunas jaya Elektronik","Jl. Komp Citra Permai Blok A no.8 Kel Sungai Jodoh","","0778430967",""
"Batam Jaya Elektronik","Jl. Jend Sudirman no 271 Pekan Baru","","077863329/077863908",""
"Central Elektronika (Mitra Karya Abadi)","Jl.Hangtuah no.96 RT/RW: 04/05 Sukamulya","","076124752",""
"Zulfahmi Shasmano","Jl. T.Bey Reputra Blok D no.89 Simpang Tiga pekan Baru","","082172530528",""
"Sanwa Elektronik","Jl. Jend Sudirman no.53 Sungai Pakning","","08127595195","0766391461"
"Fans","Jl. A.Yani no.115 SelatPanjang-Riau","","085265458019","076332097/076331741"
"Toko Central Elektronik","Jl.Hangtuah no.96 RT/RW: 04/05 Sukamulya","","0761 44751",""
"CV Bahtra Media","Jl Firdaus gang Firdaus II no 21 Tangkerang Labuai, Bukit Raya","","0813 7190 3330",""
"CV AVJ","Jl. DR Sam Ratulangi no 1 RT02 Pasar jambi Kec Pasar Jambi","","074122801",""
"CV Putra Efrinanda","Jl. Panglima A Hamid Kelurahan Tungkal II Kec Tungkal Ilir Kab Tanjung Jabung Barat","","082175239902",""
"CV Ridho Brothers","Jl Depati parbo, RT 03 No 41, lawang agung, sungai penuh, Jambi","","081373526737, 0823 7144 0004",""
"CV Sarolangun Rafi Vision","Lintas Sarolangun, bangko, desa bernai, rt 10, kec sarolangun, kab sarolangun","","08526670760 / 085379366650",""
"Warzone","Jl. DR Sam Ratulangi no 1 RT02 Pasar jambi Kec Pasar Jambi","","",""
"National Elektronik","Jl DR Sam Ratulangi no 58 / 72 , jambi","","08192400800",""
